championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner
37th National Games Goa,Recureve Women Individual,Quarter Final,Tamanna,Haryana,5,Nikki Sharma,Rajasthan,5,
37th National Games Goa,Recureve Women Individual,Quarter Final,Deepika Kumari,Jharkhand,6,Yumnam Devi,Manipur,2,Deepika Kumari
37th National Games Goa,Recureve Women Individual,Quarter Final,BHAGORA VARGISHKUMAR,Gujarat,6,Dipti Kumari,Jharkhand,2,BHAGORA VARGISHKUMAR
37th National Games Goa,Recureve Women Individual,Quarter Final,Sangeeta,Haryana,6,Tanisha Verma,Haryana,2,Sangeeta
37th National Games Goa,Recureve Women Individual,Semi Final,Deepika Kumari,Jharkhand,6,Tamanna,Haryana,4,Deepika Kumari
37th National Games Goa,Recureve Women Individual,Semi Final,Sangeeta,Haryana,6,BHAGORA VARGISHKUMAR,Gujarat,2,Sangeeta
37th National Games Goa,Recureve Women Individual,Final,Sangeeta,Haryana,2,Deepika Kumari,Jharkhand,6,Deepika Kumari
37th National Games Goa,Recureve Women Individual,Winner,Deepika Kumari,Jharkhand,,,,,
37th National Games Goa,Recureve Women Individual,Quarter Final,,,4,,,6,
37th National Games Goa,Recurve Men Individual,Quarter Final,Gora Ho,Services Sports Control Board,6,YASHDEEP BHOGE,Maharashtra,4,Gora Ho
37th National Games Goa,Recurve Men Individual,Quarter Final,ADITYA CHOUDHARY,Punjab,2,MUKESH BORO,Assam,6,MUKESH BORO
37th National Games Goa,Recurve Men Individual,Quarter Final,Robin,Haryana,4,Bhagwat Porte,Chhattisgarh,6,Bhagwat Porte
37th National Games Goa,Recurve Men Individual,Quarter Final,KAPIL,Chandigarh,3,Kartik Rana,Uttarakhand,7,Kartik Rana
37th National Games Goa,Recurve Men Individual,Semi Final,MUKESH BORO,Assam,6,Gora Ho,Services Sports Control Board,5,MUKESH BORO
37th National Games Goa,Recurve Men Individual,Semi Final,Kartik Rana,Uttarakhand,7,Bhagwat Porte,Chhattisgarh,1,Kartik Rana
37th National Games Goa,Recurve Men Individual,Final,Kartik Rana,Uttarakhand,2,MUKESH BORO,Assam,6,MUKESH BORO
37th National Games Goa,Recurve Men Individual,Winner,MUKESH BORO,Assam,,,,,
37th National Games Goa,Recurve Men Individual,Quarter Final,,,3,,,7,
37th National Games Goa,Recureve Women Team,Quarter Final,Manipur,Manipur,4,Jharkhand,Jharkhand,4,
37th National Games Goa,Recureve Women Team,Quarter Final,West Bengal,West Bengal,4,Tamil Nadu,Tamil Nadu,4,
37th National Games Goa,Recureve Women Team,Quarter Final,Telangana,Telangana,1,Maharashtra,Maharashtra,5,Maharashtra
37th National Games Goa,Recureve Women Team,Quarter Final,Haryana,Haryana,6,Goa,Goa,0,Haryana
37th National Games Goa,Recureve Women Team,Semi Final,Tamil Nadu,Tamil Nadu,4,Jharkhand,Jharkhand,5,Jharkhand
37th National Games Goa,Recureve Women Team,Semi Final,Haryana,Haryana,6,Maharashtra,Maharashtra,2,Haryana
37th National Games Goa,Recureve Women Team,Final,Haryana,Haryana,5,Jharkhand,Jharkhand,4,Haryana
37th National Games Goa,Recureve Women Team,Winner,,,,,,,
37th National Games Goa,Recureve Women Team,Quarter Final,Maharashtra,Maharashtra,5,Tamil Nadu,Tamil Nadu,4,Maharashtra
37th National Games Goa,Inidan Round Women Team,Quarter Final,Telangana,Telangana,0,Assam,Assam,6,Assam
37th National Games Goa,Inidan Round Women Team,Quarter Final,Gujarat,Gujarat,5,Uttar Pradesh,Uttar Pradesh,3,Gujarat
37th National Games Goa,Inidan Round Women Team,Quarter Final,Jharkhand,Jharkhand,2,Maharashtra,Maharashtra,6,Maharashtra
37th National Games Goa,Inidan Round Women Team,Quarter Final,Manipur,Manipur,6,Goa,Goa,0,Manipur
37th National Games Goa,Inidan Round Women Team,Semi Final,Gujarat,Gujarat,4,Assam,Assam,4,
37th National Games Goa,Inidan Round Women Team,Semi Final,Manipur,Manipur,6,Maharashtra,Maharashtra,0,Manipur
37th National Games Goa,Inidan Round Women Team,Final,Manipur,Manipur,6,Assam,Assam,0,Manipur
37th National Games Goa,Inidan Round Women Team,Winner,,,,,,,
37th National Games Goa,Inidan Round Women Team,Quarter Final,Maharashtra,Maharashtra,1,Gujarat,Gujarat,5,Gujarat
37th National Games Goa,Compound Women individual,Quarter Final,Akshita,Delhi,144,TANIPARTHI CHIKITHA,Telangana,145,TANIPARTHI CHIKITHA
37th National Games Goa,Compound Women individual,Quarter Final,Sakshi chaudhary,Uttar Pradesh,142,Avneet Kaur,Punjab,143,Avneet Kaur
37th National Games Goa,Compound Women individual,Quarter Final,Raginee Marko,Madhya Pradesh,145,PRIYA GURJAR,Rajasthan,147,PRIYA GURJAR
37th National Games Goa,Compound Women individual,Quarter Final,Jasveer kaur,Punjab,144,Srishti Singh,Madhya Pradesh,145,Srishti Singh
37th National Games Goa,Compound Women individual,Semi Final,Avneet Kaur,Punjab,146,TANIPARTHI CHIKITHA,Telangana,147,TANIPARTHI CHIKITHA
37th National Games Goa,Compound Women individual,Semi Final,Srishti Singh,Madhya Pradesh,142,PRIYA GURJAR,Rajasthan,145,PRIYA GURJAR
37th National Games Goa,Compound Women individual,Final,PRIYA GURJAR,Rajasthan,142,TANIPARTHI CHIKITHA,Telangana,143,TANIPARTHI CHIKITHA
37th National Games Goa,Compound Women individual,Winner,TANIPARTHI CHIKITHA,Telangana,,,,,
37th National Games Goa,Compound Women individual,Quarter Final,,,143,,,145,
37th National Games Goa,Compound Men Individual,Quarter Final,Vikas,Haryana,145,Ritik Chahal,Delhi,146,Ritik Chahal
37th National Games Goa,Compound Men Individual,Quarter Final,SRI RAAM GR,Tamil Nadu,146,Yarra Reddy,Andhra Pradesh,144,SRI RAAM GR
37th National Games Goa,Compound Men Individual,Quarter Final,Parth KORDE,Maharashtra,146,MANAV JADHAO,Maharashtra,145,Parth KORDE
37th National Games Goa,Compound Men Individual,Quarter Final,Rajat Chauhan,Rajasthan,148,Aman Saini,Delhi,146,Rajat Chauhan
37th National Games Goa,Compound Men Individual,Semi Final,SRI RAAM GR,Tamil Nadu,145,Ritik Chahal,Delhi,148,Ritik Chahal
