winner,event_name,country,score_a,player_b,player_a,championship_name,score_b,round_name
"Fatma Marasli, Elif Gokkir, Dunya Yenihayat",Recurve Women,TUR,0,"Fatma Marasli, Elif Gokkir, Dunya Yenihayat",,World Archery Championship 2025,0,1/12 Eliminations
"Elia Canales, Lucia Ibáñez Romero, Irati Unamunzaga Altuna",Recurve Women,ESP,0,,"Elia Canales, Lucia Ibáñez Romero, Irati Unamunzaga Altuna",World Archery Championship 2025,0,1/12 Eliminations
"Tomomi Sugimoto, Ruka Uehara, Nanami Asakuno",Recurve Women,JPN,2,"Tomomi Sugimoto, Ruka Uehara, Nanami Asakuno","Ziyodakhon Abdusattorova, Nilufar Hamroeva, Jasmina Nurmanova",World Archery Championship 2025,6,1/12 Eliminations
"Laura van der Winkel, Quinty Roeffen, Fleur Van de Ven",Recurve Women,NED,4,"Laura van der Winkel, Quinty Roeffen, Fleur Van de Ven","Thea Rogers, Megan Costall, Megan Havers",World Archery Championship 2025,5,1/12 Eliminations
"Jiaman Li, Jingyi Zhu, Yuwei Huang",Recurve Women,CHN,0,"Jiaman Li, Jingyi Zhu, Yuwei Huang",,World Archery Championship 2025,0,1/12 Eliminations
"Rishabh Yadav, Prathamesh Bhalchandra Fuge, Aman Saini",Compound Men,IND,233,"Rishabh Yadav, Prathamesh Bhalchandra Fuge, Aman Saini","Jean Philippe Boulch, Nicolas Girard, François Dubois",World Archery Championship 2025,235,Gold Medal Match
"Stas Modic, Tim Jevsnik, Aljaz Matija Brenk",Compound Men,SLO,233,"Emircan Haney, Batuhan Akcaoglu, Yagiz Sezgin","Stas Modic, Tim Jevsnik, Aljaz Matija Brenk",World Archery Championship 2025,232,Bronze Medal Match
"Jean Philippe Boulch, Nicolas Girard, François Dubois",Compound Men,FRA,231,"Jean Philippe Boulch, Nicolas Girard, François Dubois","Stas Modic, Tim Jevsnik, Aljaz Matija Brenk",World Archery Championship 2025,232,Semifinals
"Rishabh Yadav, Prathamesh Bhalchandra Fuge, Aman Saini",Compound Men,IND,232,"Rishabh Yadav, Prathamesh Bhalchandra Fuge, Aman Saini","Emircan Haney, Batuhan Akcaoglu, Yagiz Sezgin",World Archery Championship 2025,234,Semifinals
"Stas Modic, Tim Jevsnik, Aljaz Matija Brenk",Compound Men,SLO,229,"Stas Modic, Tim Jevsnik, Aljaz Matija Brenk","Jongho Kim, Eun Gyu Choi, Yonghee Choi",World Archery Championship 2025,230,Quarterfinals
"Jean Philippe Boulch, Nicolas Girard, François Dubois",Compound Men,FRA,236,"Chieh-Lun Chen, Cheng Wei Chang, Z Wei Wu","Jean Philippe Boulch, Nicolas Girard, François Dubois",World Archery Championship 2025,229,Quarterfinals
"Emircan Haney, Batuhan Akcaoglu, Yagiz Sezgin",Compound Men,TUR,231,"Miguel Angel Veliz, Douglas Vladimir Nolasco, Roberto Hernandez","Emircan Haney, Batuhan Akcaoglu, Yagiz Sezgin",World Archery Championship 2025,229,Quarterfinals
"Rishabh Yadav, Prathamesh Bhalchandra Fuge, Aman Saini",Compound Men,IND,233,"Rishabh Yadav, Prathamesh Bhalchandra Fuge, Aman Saini","Curtis Broadnax, James Lutz, Grady Kane",World Archery Championship 2025,234,Quarterfinals
"Jongho Kim, Eun Gyu Choi, Yonghee Choi",Compound Men,KOR,234,"Jose Marcelo Del Cid, Pedro Salazar, Julio Alfredo Barillas Aragon","Jongho Kim, Eun Gyu Choi, Yonghee Choi",World Archery Championship 2025,231,1/8 Eliminations
"Stas Modic, Tim Jevsnik, Aljaz Matija Brenk",Compound Men,SLO,232,"Sebastian Garcia, Rodrigo Gonzalez, Elias Reyes Cravioto","Stas Modic, Tim Jevsnik, Aljaz Matija Brenk",World Archery Championship 2025,230,1/8 Eliminations
"Jean Philippe Boulch, Nicolas Girard, François Dubois",Compound Men,FRA,233,"Viktor Orosz, László Szijártó, Csaba Balogh","Jean Philippe Boulch, Nicolas Girard, François Dubois",World Archery Championship 2025,226,1/8 Eliminations
"Chieh-Lun Chen, Cheng Wei Chang, Z Wei Wu",Compound Men,TPE,222,"Chieh-Lun Chen, Cheng Wei Chang, Z Wei Wu","Duy Bao Duong, Trong Hai Nguyen, Trung Chien Nguyen",World Archery Championship 2025,231,1/8 Eliminations
"Emircan Haney, Batuhan Akcaoglu, Yagiz Sezgin",Compound Men,TUR,233,"Mathias Fullerton, Martin Damsbo, Martin Laursen","Emircan Haney, Batuhan Akcaoglu, Yagiz Sezgin",World Archery Championship 2025,228,1/8 Eliminations
"Miguel Angel Veliz, Douglas Vladimir Nolasco, Roberto Hernandez",Compound Men,ESA,227,"Miguel Angel Veliz, Douglas Vladimir Nolasco, Roberto Hernandez","Prima Wisnu Wardhana, M Ryan Hidayat, Sostar Andaru Rinaldi",World Archery Championship 2025,229,1/8 Eliminations
"Curtis Broadnax, James Lutz, Grady Kane",Compound Men,USA,237,"Adam Carpenter, Ajay Scott, Luke Davis","Curtis Broadnax, James Lutz, Grady Kane",World Archery Championship 2025,231,1/8 Eliminations
"Rishabh Yadav, Prathamesh Bhalchandra Fuge, Aman Saini",Compound Men,IND,232,"Rishabh Yadav, Prathamesh Bhalchandra Fuge, Aman Saini","Bailey Wildman, Brandon Hawes, Harry Neve",World Archery Championship 2025,232,1/8 Eliminations
"Jongho Kim, Eun Gyu Choi, Yonghee Choi",Compound Men,KOR,0,,"Jongho Kim, Eun Gyu Choi, Yonghee Choi",World Archery Championship 2025,0,1/12 Eliminations
"Jose Marcelo Del Cid, Pedro Salazar, Julio Alfredo Barillas Aragon",Compound Men,GUA,230,"Jose Marcelo Del Cid, Pedro Salazar, Julio Alfredo Barillas Aragon","Henning Lüpkemann, Paolo Kunsch, Noah Nuber",World Archery Championship 2025,232,1/12 Eliminations
"Stas Modic, Tim Jevsnik, Aljaz Matija Brenk",Compound Men,SLO,230,"Mick Fleurinck, Quentin Croes, Julien Fraipont","Stas Modic, Tim Jevsnik, Aljaz Matija Brenk",World Archery Championship 2025,223,1/12 Eliminations
"Sebastian Garcia, Rodrigo Gonzalez, Elias Reyes Cravioto",Compound Men,MEX,0,"Sebastian Garcia, Rodrigo Gonzalez, Elias Reyes Cravioto",,World Archery Championship 2025,0,1/12 Eliminations
"Jean Philippe Boulch, Nicolas Girard, François Dubois",Compound Men,FRA,0,,"Jean Philippe Boulch, Nicolas Girard, François Dubois",World Archery Championship 2025,0,1/12 Eliminations
"Viktor Orosz, László Szijártó, Csaba Balogh",Compound Men,HUN,226,"Elia Fregnan, Michea Godano, Lorenzo Gubbini","Viktor Orosz, László Szijártó, Csaba Balogh",World Archery Championship 2025,226,1/12 Eliminations
"Duy Bao Duong, Trong Hai Nguyen, Trung Chien Nguyen",Compound Men,VIE,218,"Duy Bao Duong, Trong Hai Nguyen, Trung Chien Nguyen","Jay Tjin-A-Djie, Stef Willems, Mike Schloesser",World Archery Championship 2025,221,1/12 Eliminations
"Chieh-Lun Chen, Cheng Wei Chang, Z Wei Wu",Compound Men,TPE,0,"Chieh-Lun Chen, Cheng Wei Chang, Z Wei Wu",,World Archery Championship 2025,0,1/12 Eliminations
"Emircan Haney, Batuhan Akcaoglu, Yagiz Sezgin",Compound Men,TUR,0,,"Emircan Haney, Batuhan Akcaoglu, Yagiz Sezgin",World Archery Championship 2025,0,1/12 Eliminations
"Mathias Fullerton, Martin Damsbo, Martin Laursen",Compound Men,DEN,232,"Lukasz Przybylski, Przemyslaw Konecki, Rafal Dobrowolski","Mathias Fullerton, Martin Damsbo, Martin Laursen",World Archery Championship 2025,227,1/12 Eliminations
"Prima Wisnu Wardhana, M Ryan Hidayat, Sostar Andaru Rinaldi",Compound Men,INA,224,"Jordan Adachi, Jean-David Morin, Andrew Fagan","Prima Wisnu Wardhana, M Ryan Hidayat, Sostar Andaru Rinaldi",World Archery Championship 2025,223,1/12 Eliminations
"Miguel Angel Veliz, Douglas Vladimir Nolasco, Roberto Hernandez",Compound Men,ESA,0,"Miguel Angel Veliz, Douglas Vladimir Nolasco, Roberto Hernandez",,World Archery Championship 2025,0,1/12 Eliminations
"Curtis Broadnax, James Lutz, Grady Kane",Compound Men,USA,0,,"Curtis Broadnax, James Lutz, Grady Kane",World Archery Championship 2025,0,1/12 Eliminations
"Adam Carpenter, Ajay Scott, Luke Davis",Compound Men,GBR,225,"Adam Carpenter, Ajay Scott, Luke Davis","Shamai Yamrom, Yiftach Hadar, Kfir Frank",World Archery Championship 2025,231,1/12 Eliminations
"Bailey Wildman, Brandon Hawes, Harry Neve",Compound Men,AUS,228,"Bailey Wildman, Brandon Hawes, Harry Neve","Akbarali Karabayev, Andrey Tyutyun, Dilmukhamet Mussa",World Archery Championship 2025,229,1/12 Eliminations
"Rishabh Yadav, Prathamesh Bhalchandra Fuge, Aman Saini",Compound Men,IND,0,"Rishabh Yadav, Prathamesh Bhalchandra Fuge, Aman Saini",,World Archery Championship 2025,0,1/12 Eliminations
"Andrea Becerra, Mariana Bernal, Adriana Castillo",Compound Women,MEX,231,"Andrea Becerra, Mariana Bernal, Adriana Castillo","Alexis Ruiz, Sydney Sullenberger, Olivia Dean",World Archery Championship 2025,236,Gold Medal Match
"Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova",Compound Women,KAZ,229,"Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova","Isabelle Carpenter, Ella Gibson, Layla Annison",World Archery Championship 2025,232,Bronze Medal Match
"Alexis Ruiz, Sydney Sullenberger, Olivia Dean",Compound Women,USA,230,"Alexis Ruiz, Sydney Sullenberger, Olivia Dean","Isabelle Carpenter, Ella Gibson, Layla Annison",World Archery Championship 2025,234,Semifinals
"Andrea Becerra, Mariana Bernal, Adriana Castillo",Compound Women,MEX,231,"Andrea Becerra, Mariana Bernal, Adriana Castillo","Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova",World Archery Championship 2025,231,Semifinals
"Isabelle Carpenter, Ella Gibson, Layla Annison",Compound Women,GBR,230,"Isabelle Carpenter, Ella Gibson, Layla Annison","Sofia Paiz, Paola Corado, Camila Alvarenga",World Archery Championship 2025,231,Quarterfinals
"Alexis Ruiz, Sydney Sullenberger, Olivia Dean",Compound Women,USA,231,"Alexis Ruiz, Sydney Sullenberger, Olivia Dean","Yurike Nina Bonita Pereira, Ratih Zilizati Fadhly, Nurisa Dian Ashrifah",World Archery Championship 2025,231,Quarterfinals
"Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova",Compound Women,KAZ,227,"Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova","Andrea Nicole Moccia, Elisa Roner, Giulia Di Nardo",World Archery Championship 2025,228,Quarterfinals
"Andrea Becerra, Mariana Bernal, Adriana Castillo",Compound Women,MEX,231,"Andrea Becerra, Mariana Bernal, Adriana Castillo","Tanja Gellenthien, Livia Haals Wieth-Knudsen, Sofie Louise Dam Marcussen",World Archery Championship 2025,232,Quarterfinals
"Sofia Paiz, Paola Corado, Camila Alvarenga",Compound Women,ESA,229,"Sofia Paiz, Paola Corado, Camila Alvarenga","Chaewon So, Sooin Sim, Seungyeon Han",World Archery Championship 2025,231,1/8 Eliminations
"Isabelle Carpenter, Ella Gibson, Layla Annison",Compound Women,GBR,231,"Yi-Hsuan Chen, Lu-Yun Wang, I-Jou Huang","Isabelle Carpenter, Ella Gibson, Layla Annison",World Archery Championship 2025,224,1/8 Eliminations
"Yurike Nina Bonita Pereira, Ratih Zilizati Fadhly, Nurisa Dian Ashrifah",Compound Women,INA,234,"Andrea Muñoz, Alexa Misis Olivares, Paula Diaz Morillas","Yurike Nina Bonita Pereira, Ratih Zilizati Fadhly, Nurisa Dian Ashrifah",World Archery Championship 2025,233,1/8 Eliminations
"Alexis Ruiz, Sydney Sullenberger, Olivia Dean",Compound Women,USA,226,"Alexis Ruiz, Sydney Sullenberger, Olivia Dean","Rhiannon Mills, Anna Twining, Georgina Graham",World Archery Championship 2025,234,1/8 Eliminations
"Andrea Nicole Moccia, Elisa Roner, Giulia Di Nardo",Compound Women,ITA,229,"Andrea Nicole Moccia, Elisa Roner, Giulia Di Nardo","Jyothi Surekha Vennam, Parneet Kaur, Prithika Pradeep",World Archery Championship 2025,233,1/8 Eliminations
"Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova",Compound Women,KAZ,230,"Lisell Jaatma, Maris Tetsmann, Meeri-Marita Paas","Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova",World Archery Championship 2025,226,1/8 Eliminations
"Tanja Gellenthien, Livia Haals Wieth-Knudsen, Sofie Louise Dam Marcussen",Compound Women,DEN,226,"Tanja Gellenthien, Livia Haals Wieth-Knudsen, Sofie Louise Dam Marcussen","Begum Yuva, Hazal Burun, Emine Rabia Oguz",World Archery Championship 2025,231,1/8 Eliminations
"Andrea Becerra, Mariana Bernal, Adriana Castillo",Compound Women,MEX,232,"Andrea Becerra, Mariana Bernal, Adriana Castillo","Ambre Puiseux, Lea Girault, Chloe Leroy",World Archery Championship 2025,232,1/8 Eliminations
"Chaewon So, Sooin Sim, Seungyeon Han",Compound Women,KOR,0,,"Chaewon So, Sooin Sim, Seungyeon Han",World Archery Championship 2025,0,1/12 Eliminations
"Sofia Paiz, Paola Corado, Camila Alvarenga",Compound Women,ESA,228,"Sofia Paiz, Paola Corado, Camila Alvarenga","Bonna Akter, Puspita Zaman, Most Kulsum Akther Mone",World Archery Championship 2025,232,1/12 Eliminations
"Isabelle Carpenter, Ella Gibson, Layla Annison",Compound Women,GBR,237,"Vanesa Caparas, Amaya Amparo Cojuangco, Michiko Brianna Gonzales","Isabelle Carpenter, Ella Gibson, Layla Annison",World Archery Championship 2025,223,1/12 Eliminations
"Yi-Hsuan Chen, Lu-Yun Wang, I-Jou Huang",Compound Women,TPE,0,"Yi-Hsuan Chen, Lu-Yun Wang, I-Jou Huang",,World Archery Championship 2025,0,1/12 Eliminations
"Yurike Nina Bonita Pereira, Ratih Zilizati Fadhly, Nurisa Dian Ashrifah",Compound Women,INA,0,,"Yurike Nina Bonita Pereira, Ratih Zilizati Fadhly, Nurisa Dian Ashrifah",World Archery Championship 2025,0,1/12 Eliminations
"Andrea Muñoz, Alexa Misis Olivares, Paula Diaz Morillas",Compound Women,ESP,222,"Andrea Muñoz, Alexa Misis Olivares, Paula Diaz Morillas","Larissa Aparecida Ferrari Oliveira, Camila Hikari Harada, Bianca Rodrigues",World Archery Championship 2025,231,1/12 Eliminations
"Rhiannon Mills, Anna Twining, Georgina Graham",Compound Women,AUS,225,"Rhiannon Mills, Anna Twining, Georgina Graham","Thi Kim Anh Nguyen, Thi Hai Chau Nguyen, Thi Yen Nhi Le",World Archery Championship 2025,229,1/12 Eliminations
"Alexis Ruiz, Sydney Sullenberger, Olivia Dean",Compound Women,USA,0,"Alexis Ruiz, Sydney Sullenberger, Olivia Dean",,World Archery Championship 2025,0,1/12 Eliminations
"Jyothi Surekha Vennam, Parneet Kaur, Prithika Pradeep",Compound Women,IND,0,,"Jyothi Surekha Vennam, Parneet Kaur, Prithika Pradeep",World Archery Championship 2025,0,1/12 Eliminations
"Andrea Nicole Moccia, Elisa Roner, Giulia Di Nardo",Compound Women,ITA,227,"Andrea Nicole Moccia, Elisa Roner, Giulia Di Nardo","Ida Karlsson, Jennifer Winsenne, Ami Fransson",World Archery Championship 2025,230,1/12 Eliminations
"Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova",Compound Women,KAZ,229,"Sandra Jankowska, Magdalena Zygmunciak, Marzena Nowak","Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova",World Archery Championship 2025,227,1/12 Eliminations
"Lisell Jaatma, Maris Tetsmann, Meeri-Marita Paas",Compound Women,EST,0,"Lisell Jaatma, Maris Tetsmann, Meeri-Marita Paas",,World Archery Championship 2025,0,1/12 Eliminations
"Begum Yuva, Hazal Burun, Emine Rabia Oguz",Compound Women,TUR,0,,"Begum Yuva, Hazal Burun, Emine Rabia Oguz",World Archery Championship 2025,0,1/12 Eliminations
"Tanja Gellenthien, Livia Haals Wieth-Knudsen, Sofie Louise Dam Marcussen",Compound Women,DEN,219,"Tanja Gellenthien, Livia Haals Wieth-Knudsen, Sofie Louise Dam Marcussen","Cheuk Ying Wang, Hung Ting Cheng, Yuk Sheung Wong",World Archery Championship 2025,224,1/12 Eliminations
"Ambre Puiseux, Lea Girault, Chloe Leroy",Compound Women,FRA,233,"Jennifer Walter, Marie Marquardt, Katharina Raab","Ambre Puiseux, Lea Girault, Chloe Leroy",World Archery Championship 2025,232,1/12 Eliminations
"Andrea Becerra, Mariana Bernal, Adriana Castillo",Compound Women,MEX,0,"Andrea Becerra, Mariana Bernal, Adriana Castillo",,World Archery Championship 2025,0,1/12 Eliminations
"Sanne de Laat, Mike Schloesser",Compound Mixed Team,NED,155,"Sanne de Laat, Mike Schloesser","Jyothi Surekha Vennam, Rishabh Yadav",World Archery Championship 2025,157,Gold Medal Match
"Andrea Becerra, Sebastian Garcia",Compound Mixed Team,MEX,157,"Andrea Becerra, Sebastian Garcia","Cheng Wei Chang, I-Jou Huang",World Archery Championship 2025,158,Bronze Medal Match
"Jyothi Surekha Vennam, Rishabh Yadav",Compound Mixed Team,IND,155,"Jyothi Surekha Vennam, Rishabh Yadav","Cheng Wei Chang, I-Jou Huang",World Archery Championship 2025,157,Semifinals
"Sanne de Laat, Mike Schloesser",Compound Mixed Team,NED,158,"Sanne de Laat, Mike Schloesser","Andrea Becerra, Sebastian Garcia",World Archery Championship 2025,158,Semifinals
"Cheng Wei Chang, I-Jou Huang",Compound Mixed Team,TPE,155,"Cheng Wei Chang, I-Jou Huang","Jongho Kim, Chaewon So",World Archery Championship 2025,155,Quarterfinals
"Jyothi Surekha Vennam, Rishabh Yadav",Compound Mixed Team,IND,153,"Jyothi Surekha Vennam, Rishabh Yadav","Sofia Paiz, Roberto Hernandez",World Archery Championship 2025,157,Quarterfinals
"Andrea Becerra, Sebastian Garcia",Compound Mixed Team,MEX,158,"Ella Gibson, Ajay Scott","Andrea Becerra, Sebastian Garcia",World Archery Championship 2025,153,Quarterfinals
"Sanne de Laat, Mike Schloesser",Compound Mixed Team,NED,155,"Roxana Yunussova, Andrey Tyutyun","Sanne de Laat, Mike Schloesser",World Archery Championship 2025,153,Quarterfinals
"Jongho Kim, Chaewon So",Compound Mixed Team,KOR,155,"Jairo Rodrigo Da Silva, Bianca Rodrigues","Jongho Kim, Chaewon So",World Archery Championship 2025,153,1/8 Eliminations
"Cheng Wei Chang, I-Jou Huang",Compound Mixed Team,TPE,155,"Cheng Wei Chang, I-Jou Huang","Michea Godano, Elisa Roner",World Archery Championship 2025,155,1/8 Eliminations
"Sofia Paiz, Roberto Hernandez",Compound Mixed Team,ESA,154,"Sofia Paiz, Roberto Hernandez","Emircan Haney, Begum Yuva",World Archery Championship 2025,156,1/8 Eliminations
"Jyothi Surekha Vennam, Rishabh Yadav",Compound Mixed Team,IND,152,"Jyothi Surekha Vennam, Rishabh Yadav","Paolo Kunsch, Katharina Raab",World Archery Championship 2025,160,1/8 Eliminations
"Andrea Becerra, Sebastian Garcia",Compound Mixed Team,MEX,159,"Nicolas Girard, Lea Girault","Andrea Becerra, Sebastian Garcia",World Archery Championship 2025,157,1/8 Eliminations
"Ella Gibson, Ajay Scott",Compound Mixed Team,GBR,156,"Ella Gibson, Ajay Scott","Amanda Mlinaric, Domagoj Buden",World Archery Championship 2025,158,1/8 Eliminations
"Sanne de Laat, Mike Schloesser",Compound Mixed Team,NED,156,"Sanne de Laat, Mike Schloesser","Curtis Broadnax, Olivia Dean",World Archery Championship 2025,156,1/8 Eliminations
"Roxana Yunussova, Andrey Tyutyun",Compound Mixed Team,KAZ,157,"Tanja Gellenthien, Mathias Fullerton","Roxana Yunussova, Andrey Tyutyun",World Archery Championship 2025,156,1/8 Eliminations
"Jongho Kim, Chaewon So",Compound Mixed Team,KOR,0,,"Jongho Kim, Chaewon So",World Archery Championship 2025,0,1/12 Eliminations
"Jairo Rodrigo Da Silva, Bianca Rodrigues",Compound Mixed Team,BRA,154,"Daniel Munoz, Alejandra Usquiano","Jairo Rodrigo Da Silva, Bianca Rodrigues",World Archery Championship 2025,153,1/12 Eliminations
"Michea Godano, Elisa Roner",Compound Mixed Team,ITA,156,"Rhiannon Mills, Brandon Hawes","Michea Godano, Elisa Roner",World Archery Championship 2025,153,1/12 Eliminations
"Cheng Wei Chang, I-Jou Huang",Compound Mixed Team,TPE,0,"Cheng Wei Chang, I-Jou Huang",,World Archery Championship 2025,0,1/12 Eliminations
"Emircan Haney, Begum Yuva",Compound Mixed Team,TUR,0,,"Emircan Haney, Begum Yuva",World Archery Championship 2025,0,1/12 Eliminations
"Sofia Paiz, Roberto Hernandez",Compound Mixed Team,ESA,150,"Sofia Paiz, Roberto Hernandez","Mohd Juwaidi Mazuki, Fatin Nurfatehah Mat Salleh",World Archery Championship 2025,153,1/12 Eliminations
"Paolo Kunsch, Katharina Raab",Compound Mixed Team,GER,152,"Paolo Kunsch, Katharina Raab","Prima Wisnu Wardhana, Yurike Nina Bonita Pereira",World Archery Championship 2025,153,1/12 Eliminations
"Jyothi Surekha Vennam, Rishabh Yadav",Compound Mixed Team,IND,0,"Jyothi Surekha Vennam, Rishabh Yadav",,World Archery Championship 2025,0,1/12 Eliminations
"Andrea Becerra, Sebastian Garcia",Compound Mixed Team,MEX,0,,"Andrea Becerra, Sebastian Garcia",World Archery Championship 2025,0,1/12 Eliminations
"Nicolas Girard, Lea Girault",Compound Mixed Team,FRA,154,"Nicolas Girard, Lea Girault","Przemyslaw Konecki, Sandra Jankowska",World Archery Championship 2025,155,1/12 Eliminations
"Amanda Mlinaric, Domagoj Buden",Compound Mixed Team,CRO,155,"Amanda Mlinaric, Domagoj Buden","Lisell Jaatma, Robin Jaatma",World Archery Championship 2025,155,1/12 Eliminations
"Ella Gibson, Ajay Scott",Compound Mixed Team,GBR,0,"Ella Gibson, Ajay Scott",,World Archery Championship 2025,0,1/12 Eliminations
"Curtis Broadnax, Olivia Dean",Compound Mixed Team,USA,0,,"Curtis Broadnax, Olivia Dean",World Archery Championship 2025,0,1/12 Eliminations
"Sanne de Laat, Mike Schloesser",Compound Mixed Team,NED,154,"Sanne de Laat, Mike Schloesser","Paola Ramirez Gonzalez, Jean Pizarro Latorre",World Archery Championship 2025,157,1/12 Eliminations
"Roxana Yunussova, Andrey Tyutyun",Compound Mixed Team,KAZ,156,"Thi Kim Anh Nguyen, Trung Chien Nguyen","Roxana Yunussova, Andrey Tyutyun",World Archery Championship 2025,150,1/12 Eliminations
"Tanja Gellenthien, Mathias Fullerton",Compound Mixed Team,DEN,0,"Tanja Gellenthien, Mathias Fullerton",,World Archery Championship 2025,0,1/12 Eliminations
"Elia Canales, Andres Temiño Mediel",Recurve Mixed Team,ESP,2,"Elia Canales, Andres Temiño Mediel","San An, Woojin Kim",World Archery Championship 2025,6,Gold Medal Match
"Yuki Kawata, Nanami Asakuno",Recurve Mixed Team,JPN,3,"Yuki Kawata, Nanami Asakuno","Moritz Wieser, Katharina Bauer",World Archery Championship 2025,5,Bronze Medal Match
"San An, Woojin Kim",Recurve Mixed Team,KOR,5,"Moritz Wieser, Katharina Bauer","San An, Woojin Kim",World Archery Championship 2025,3,Semifinals
"Elia Canales, Andres Temiño Mediel",Recurve Mixed Team,ESP,5,"Yuki Kawata, Nanami Asakuno","Elia Canales, Andres Temiño Mediel",World Archery Championship 2025,1,Semifinals
"San An, Woojin Kim",Recurve Mixed Team,KOR,6,"Jennifer Mucino, Christian Stoddard","San An, Woojin Kim",World Archery Championship 2025,0,Quarterfinals
"Moritz Wieser, Katharina Bauer",Recurve Mixed Team,GER,6,"Oleksii Hunbin, Anastasia Pavlova","Moritz Wieser, Katharina Bauer",World Archery Championship 2025,0,Quarterfinals
"Elia Canales, Andres Temiño Mediel",Recurve Mixed Team,ESP,5,"Matias Grande, Alejandra Valencia","Elia Canales, Andres Temiño Mediel",World Archery Championship 2025,3,Quarterfinals
"Yuki Kawata, Nanami Asakuno",Recurve Mixed Team,JPN,5,"Quoc Phong Le, Thi Dao Loc","Yuki Kawata, Nanami Asakuno",World Archery Championship 2025,1,Quarterfinals
"San An, Woojin Kim",Recurve Mixed Team,KOR,5,"Marie Horackova, Richard Krejci","San An, Woojin Kim",World Archery Championship 2025,3,1/8 Eliminations
"Jennifer Mucino, Christian Stoddard",Recurve Mixed Team,USA,1,"Jennifer Mucino, Christian Stoddard","Chiara Rebagliati, Matteo Borsani",World Archery Championship 2025,5,1/8 Eliminations
"Moritz Wieser, Katharina Bauer",Recurve Mixed Team,GER,0,"Moritz Wieser, Katharina Bauer","Yi-Ching Chiu, Chih-Chun Tang",World Archery Championship 2025,6,1/8 Eliminations
"Oleksii Hunbin, Anastasia Pavlova",Recurve Mixed Team,UKR,1,"Oleksii Hunbin, Anastasia Pavlova","Den Habjan Malavasic, Zana Pintaric",World Archery Championship 2025,5,1/8 Eliminations
"Elia Canales, Andres Temiño Mediel",Recurve Mixed Team,ESP,6,"Senna Roos, Quinty Roeffen","Elia Canales, Andres Temiño Mediel",World Archery Championship 2025,0,1/8 Eliminations
"Matias Grande, Alejandra Valencia",Recurve Mixed Team,MEX,3,"Matias Grande, Alejandra Valencia","Thomas Chirault, Victoria Sebastian",World Archery Championship 2025,5,1/8 Eliminations
"Yuki Kawata, Nanami Asakuno",Recurve Mixed Team,JPN,4,"Yuki Kawata, Nanami Asakuno","Neeraj Chauhan, Deepika Kumari",World Archery Championship 2025,5,1/8 Eliminations
"Quoc Phong Le, Thi Dao Loc",Recurve Mixed Team,VIE,5,"Jingyi Zhu, Wenchao Kao","Quoc Phong Le, Thi Dao Loc",World Archery Championship 2025,4,1/8 Eliminations
"San An, Woojin Kim",Recurve Mixed Team,KOR,0,,"San An, Woojin Kim",World Archery Championship 2025,0,1/12 Eliminations
"Marie Horackova, Richard Krejci",Recurve Mixed Team,CZE,6,"Alexandra Feeney, Ryan Tyack","Marie Horackova, Richard Krejci",World Archery Championship 2025,0,1/12 Eliminations
"Chiara Rebagliati, Matteo Borsani",Recurve Mixed Team,ITA,5,"Patrick Huston, Megan Costall","Chiara Rebagliati, Matteo Borsani",World Archery Championship 2025,4,1/12 Eliminations
"Jennifer Mucino, Christian Stoddard",Recurve Mixed Team,USA,0,"Jennifer Mucino, Christian Stoddard",,World Archery Championship 2025,0,1/12 Eliminations
"Yi-Ching Chiu, Chih-Chun Tang",Recurve Mixed Team,TPE,0,,"Yi-Ching Chiu, Chih-Chun Tang",World Archery Championship 2025,0,1/12 Eliminations
"Moritz Wieser, Katharina Bauer",Recurve Mixed Team,GER,2,"Moritz Wieser, Katharina Bauer","Samiya Odinaeva, Sib Sankar Maity",World Archery Championship 2025,6,1/12 Eliminations
"Den Habjan Malavasic, Zana Pintaric",Recurve Mixed Team,SLO,3,"Den Habjan Malavasic, Zana Pintaric","Mete Gazoz, Elif Gokkir",World Archery Championship 2025,5,1/12 Eliminations
"Oleksii Hunbin, Anastasia Pavlova",Recurve Mixed Team,UKR,0,"Oleksii Hunbin, Anastasia Pavlova",,World Archery Championship 2025,0,1/12 Eliminations
"Elia Canales, Andres Temiño Mediel",Recurve Mixed Team,ESP,0,,"Elia Canales, Andres Temiño Mediel",World Archery Championship 2025,0,1/12 Eliminations
"Senna Roos, Quinty Roeffen",Recurve Mixed Team,NED,4,"Senna Roos, Quinty Roeffen","Kirstine Danstrup Andersen, Christian Brendstrup Christensen",World Archery Championship 2025,5,1/12 Eliminations
"Thomas Chirault, Victoria Sebastian",Recurve Mixed Team,FRA,5,"Ane Marcelle Dos Santos, Marcus D’Almeida","Thomas Chirault, Victoria Sebastian",World Archery Championship 2025,1,1/12 Eliminations
