event_name,name,state/unit
INDIAN ROUND (WOMEN),Bhawana santosh sattegrhi,Maharashtra
INDIAN ROUND (WOMEN),Moirangthem Baby Devi,Manipur
INDIAN ROUND (WOMEN),Moirangthem Anjali Devi,Manipur
INDIAN ROUND (WOMEN),CHIROM DEBIYA DEVI,Manipur
INDIAN ROUND (WOMEN),AYSWARYA AV,Kerala
INDIAN ROUND (WOMEN),Bibitha balan,Kerala
INDIAN ROUND (WOMEN),USHA DEVI,Jammu & Kashmir
INDIAN ROUND (WOMEN),Archa Rajan,Kerala
INDIAN ROUND (WOMEN),KM ANSHU CHAUHAN,Madhya Pradesh
INDIAN ROUND (WOMEN),Arpana Patel,Madhya Pradesh
INDIAN ROUND (WOMEN),Sheetal bairagi,Madhya Pradesh
INDIAN ROUND (WOMEN),Gurcharan kaur,Madhya Pradesh
INDIAN ROUND (WOMEN),Rathva Manishaben Madanbhai,Gujarat
INDIAN ROUND (WOMEN),Rathva Lasiben,Gujarat
INDIAN ROUND (WOMEN),Rathod jayshreeba,Gujarat
INDIAN ROUND (WOMEN),Rita devi,Jammu & Kashmir
INDIAN ROUND (WOMEN),SIMI SHARMA,Jammu & Kashmir
INDIAN ROUND (WOMEN),Bharti saini,Delhi
INDIAN ROUND (WOMEN),Shashibala kumari,Delhi
INDIAN ROUND (WOMEN),Tulsi,Delhi
INDIAN ROUND (WOMEN),PRITI,Delhi
INDIAN ROUND (WOMEN),Varikuppala sravanthi,Telangana
INDIAN ROUND (WOMEN),Rafeeqah Tasneem,Telangana
INDIAN ROUND (WOMEN),banoth trinayani,Telangana
INDIAN ROUND (WOMEN),ASHAMSHETTI BHAVANI,Telangana
INDIAN ROUND (WOMEN),Nciepzeule,Nagaland
INDIAN ROUND (WOMEN),Suniya Mech,Nagaland
INDIAN ROUND (WOMEN),Pauheileule,Nagaland
INDIAN ROUND (WOMEN),Chayarani Mahato,West Bengal
INDIAN ROUND (WOMEN),Bulti Roy,West Bengal
INDIAN ROUND (WOMEN),Rupa Barman,West Bengal
INDIAN ROUND (WOMEN),Sumitra Mahato,West Bengal
INDIAN ROUND (WOMEN),Ibanisha Ryntathiang,Meghalaya
INDIAN ROUND (WOMEN),Alfida kharsohphoh,Meghalaya
INDIAN ROUND (WOMEN),Shongkhiashisha Kharpan,Meghalaya
INDIAN ROUND (WOMEN),Aitilin Paliar,Meghalaya
INDIAN ROUND (WOMEN),Supraja J,Tamilnadu
INDIAN ROUND (WOMEN),SANGAMITRA,Tamilnadu
INDIAN ROUND (WOMEN),L J JEEVITA,Tamilnadu
INDIAN ROUND (WOMEN),B.MAHATHI,Tamilnadu
INDIAN ROUND (WOMEN),Padma wangmo,Ladakh
INDIAN ROUND (WOMEN),TOYEEBA FATIMA,Ladakh
INDIAN ROUND (WOMEN),STANZIN LHADOL,Ladakh
INDIAN ROUND (WOMEN),Nilza Angmo,Ladakh
INDIAN ROUND (WOMEN),SANGEETA KINDO,Andman & Nicobar
INDIAN ROUND (WOMEN),S PRABHA WATI,Andman & Nicobar
INDIAN ROUND (WOMEN),NARAHARI NIKHILA,Andhra Pradesh
