championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner,winner_state
38th National Games Uttarakhand,Compound Women individual,Quarter Final,"Punjab

Parneet Kaur",,150,"Maharashtra

Madhura Dhamangaonkar",,143,"Punjab

Parneet Kaur",
38th National Games Uttarakhand,Compound Women individual,Quarter Final,"Delhi

Kumud Saini",,144,"Madhya Pradesh

Srishti Singh",,138,"Delhi

Kumud Saini",
38th National Games Uttarakhand,Compound Women individual,Quarter Final,"Haryana

Deepshikha",,148(1,"Andhra Pradesh

Madala Hamsini",,148(9,,
38th National Games Uttarakhand,Compound Women individual,Semi Final,"Punjab

Avneet Kaur",,142,"Punjab

Parneet Kaur",,144,"Punjab

Parneet Kaur",
38th National Games Uttarakhand,Compound Women individual,Semi Final,"Delhi

Kumud Saini",,143,"Haryana

Deepshikha",,144,"Haryana

Deepshikha",
38th National Games Uttarakhand,Compound Women individual,Final,"Haryana

Deepshikha",,148,"Punjab

Parneet Kaur",,144,"Haryana

Deepshikha",
38th National Games Uttarakhand,Compound Women individual,Winner,"Haryana

Deepshikha",,,,,,,
38th National Games Uttarakhand,Compound Women individual,Round 1,"Punjab

Avneet Kaur",,143,"Delhi

Kumud Saini",,142,"Punjab

Avneet Kaur",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Haryana

Nikita",,7,"Uttar Pradesh

Vedakshi Tomar",,3,"Haryana

Nikita",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Assam

Tutumoni Boro",,5,"Punjab

Bhawna Rani",,5,,
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Jharkhand

Chandmuni Kunkal",,0,"Kerala

Ayswarya A V",,6,"Kerala

Ayswarya A V",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Manipur

Millennia Thokchom",,5,"Kerala

Archa Vinod",,5,,
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Jharkhand

Suman Gope",,0,"Chhattisgarh

Chandni Sahu",,6,"Chhattisgarh

Chandni Sahu",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Assam

Namrata Brahma",,6,"Madhya Pradesh

Shital Bairagi",,0,"Assam

Namrata Brahma",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Chhattisgarh

Sushila Netam",,4,"Gujarat

Rathva Amitaben",,6,"Gujarat

Rathva Amitaben",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Haryana

Divya",,6,"Assam

Rita Basumatary",,2,"Haryana

Divya",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Rajasthan

Pratiksha",,0,"Jharkhand

Manisha Kumari",,6,"Jharkhand

Manisha Kumari",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Manipur

Moirangthem Devi",,6,"Manipur

Heikrujam Devi",,2,"Manipur

Moirangthem Devi",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Chhattisgarh

Sulochana Raj",,6,"Delhi

Bharti Saini",,4,"Chhattisgarh

Sulochana Raj",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Haryana

Monika",,6,"Uttarakhand

Pushpa",,2,"Haryana

Monika",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Jharkhand

Priya Mahali",,2,"Assam

Pallabi Boro",,6,"Assam

Pallabi Boro",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Uttarakhand

Binita Boro",,5,"Uttar Pradesh

Chhavi Rana",,5,,
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Maharashtra

Bhavana Satyagiri",,6,"Delhi

Sapna Kumari",,0,"Maharashtra

Bhavana Satyagiri",
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Chhattisgarh

Harshita Sahu",,0,"Manipur

Laiphrakpam Devi",,6,"Manipur

Laiphrakpam Devi",
38th National Games Uttarakhand,Indian Round Women Individual,Round 2,"Haryana

Nikita",,5,"Kerala

Ayswarya A V",,5,,
38th National Games Uttarakhand,Indian Round Women Individual,Round 2,"Kerala

Archa Vinod",,4,"Chhattisgarh

Chandni Sahu",,6,"Chhattisgarh

Chandni Sahu",
38th National Games Uttarakhand,Indian Round Women Individual,Round 2,"Assam

Namrata Brahma",,0,"Gujarat

Rathva Amitaben",,6,"Gujarat

Rathva Amitaben",
38th National Games Uttarakhand,Indian Round Women Individual,Round 2,"Haryana

Divya",,2,"Jharkhand

Manisha Kumari",,6,"Jharkhand

Manisha Kumari",
38th National Games Uttarakhand,Indian Round Women Individual,Round 2,"Manipur

Moirangthem Devi",,6,"Chhattisgarh

Sulochana Raj",,2,"Manipur

Moirangthem Devi",
38th National Games Uttarakhand,Indian Round Women Individual,Round 2,"Assam

Tutumoni Boro",,7,"Haryana

Monika",,3,"Assam

Tutumoni Boro",
38th National Games Uttarakhand,Indian Round Women Individual,Round 2,"Assam

Pallabi Boro",,7,"Uttarakhand

Binita Boro",,1,"Assam

Pallabi Boro",
38th National Games Uttarakhand,Indian Round Women Individual,Round 2,"Maharashtra

Bhavana Satyagiri",,0,"Manipur

Laiphrakpam Devi",,6,"Manipur

Laiphrakpam Devi",
38th National Games Uttarakhand,Indian Round Women Individual,Quarter Final,"Haryana

Nikita",,0,"Chhattisgarh

Chandni Sahu",,6,"Chhattisgarh

Chandni Sahu",
38th National Games Uttarakhand,Indian Round Women Individual,Quarter Final,"Gujarat

Rathva Amitaben",,0,"Jharkhand

Manisha Kumari",,6,"Jharkhand

Manisha Kumari",
38th National Games Uttarakhand,Indian Round Women Individual,Quarter Final,"Manipur

Moirangthem Devi",,1,"Assam

Tutumoni Boro",,7,"Assam

Tutumoni Boro",
38th National Games Uttarakhand,Indian Round Women Individual,Quarter Final,"Assam

Pallabi Boro",,0,"Manipur

Laiphrakpam Devi",,6,"Manipur

Laiphrakpam Devi",
38th National Games Uttarakhand,Indian Round Women Individual,Semi Final,"Chhattisgarh

Chandni Sahu",,6,"Jharkhand

Manisha Kumari",,2,"Chhattisgarh

Chandni Sahu",
38th National Games Uttarakhand,Indian Round Women Individual,Semi Final,"Assam

Tutumoni Boro",,4,"Manipur

Laiphrakpam Devi",,6,"Manipur

Laiphrakpam Devi",
38th National Games Uttarakhand,Indian Round Women Individual,Final,"Chhattisgarh

Chandni Sahu",,2,"Manipur

Laiphrakpam Devi",,6,"Manipur

Laiphrakpam Devi",
38th National Games Uttarakhand,Indian Round Women Individual,Winner,"Manipur

Laiphrakpam Devi",,,,,,,
38th National Games Uttarakhand,Indian Round Women Individual,Round 1,"Jharkhand

Manisha Kumari",,0,"Assam

Tutumoni Boro",,0,,
38th National Games Uttarakhand,Recurve Women Team,Quarter Final,Jharkhand,Jharkhand,6,Uttarakhand,Uttarakhand,0,Jharkhand,
38th National Games Uttarakhand,Recurve Women Team,Quarter Final,Gujarat,Gujarat,1,Haryana,Haryana,5,Haryana,
38th National Games Uttarakhand,Recurve Women Team,Quarter Final,West Bengal,West Bengal,6,Assam,Assam,2,West Bengal,
38th National Games Uttarakhand,Recurve Women Team,Quarter Final,Madhya Pradesh,Madhya Pradesh,2,Maharashtra,Maharashtra,6,Maharashtra,
38th National Games Uttarakhand,Recurve Women Team,Semi Final,Jharkhand,Jharkhand,6,Haryana,Haryana,2,Jharkhand,
38th National Games Uttarakhand,Recurve Women Team,Semi Final,West Bengal,West Bengal,0,Maharashtra,Maharashtra,6,Maharashtra,
38th National Games Uttarakhand,Recurve Women Team,Final,Jharkhand,Jharkhand,0,Maharashtra,Maharashtra,6,Maharashtra,
38th National Games Uttarakhand,Recurve Women Team,Winner,,,,,,,,
38th National Games Uttarakhand,Recurve Women Team,Quarter Final,Haryana,Haryana,5,West Bengal,West Bengal,4,Haryana,
38th National Games Uttarakhand,Compound Women Team,Quarter Final,JYOTHI SUREKHA VENNAM / ADITI SWAMI / BHAJAN KAUR,Maharashtra,233,Uttarakhand,Uttarakhand,214,JYOTHI SUREKHA VENNAM / ADITI SWAMI / BHAJAN KAUR,
38th National Games Uttarakhand,Compound Women Team,Quarter Final,SONALI NATH / POONAM CHAUDHARY / PRIYA GURJAR,Rajasthan,216,Telangana,Telangana,224,Telangana,
38th National Games Uttarakhand,Compound Women Team,Quarter Final,Delhi,Delhi,233,TRISHA DEY / NIKITA / PRAJAKTA,Uttar Pradesh,227,Delhi,
38th National Games Uttarakhand,Compound Women Team,Quarter Final,Haryana,Haryana,223,MUSKAN KIRAR / HARPREET KAUR / SIMRANPREET KAUR BRAR,Punjab,231,MUSKAN KIRAR / HARPREET KAUR / SIMRANPREET KAUR BRAR,
38th National Games Uttarakhand,Compound Women Team,Semi Final,JYOTHI SUREKHA VENNAM / ADITI SWAMI / BHAJAN KAUR,Maharashtra,229,Telangana,Telangana,228,JYOTHI SUREKHA VENNAM / ADITI SWAMI / BHAJAN KAUR,
38th National Games Uttarakhand,Compound Women Team,Semi Final,Delhi,Delhi,229,MUSKAN KIRAR / HARPREET KAUR / SIMRANPREET KAUR BRAR,Punjab,231,MUSKAN KIRAR / HARPREET KAUR / SIMRANPREET KAUR BRAR,
38th National Games Uttarakhand,Compound Women Team,Final,MUSKAN KIRAR / HARPREET KAUR / SIMRANPREET KAUR BRAR,Punjab,228,JYOTHI SUREKHA VENNAM / ADITI SWAMI / BHAJAN KAUR,Maharashtra,227,MUSKAN KIRAR / HARPREET KAUR / SIMRANPREET KAUR BRAR,
38th National Games Uttarakhand,Compound Women Team,Winner,,,,,,,,
38th National Games Uttarakhand,Compound Women Team,Quarter Final,Telangana,Telangana,232,Delhi,Delhi,229,Telangana,
38th National Games Uttarakhand,Indian Round Women Team,Quarter Final,Manipur,Manipur,6,Punjab,Punjab,0,Manipur,
38th National Games Uttarakhand,Indian Round Women Team,Quarter Final,Chhattisgarh,Chhattisgarh,5,Assam,Assam,4,Chhattisgarh,
38th National Games Uttarakhand,Indian Round Women Team,Quarter Final,Jharkhand,Jharkhand,2,Uttarakhand,Uttarakhand,6,Uttarakhand,
38th National Games Uttarakhand,Indian Round Women Team,Quarter Final,Kerala,Kerala,0,Haryana,Haryana,6,Haryana,
38th National Games Uttarakhand,Indian Round Women Team,Semi Final,Manipur,Manipur,5,Chhattisgarh,Chhattisgarh,1,Manipur,
38th National Games Uttarakhand,Indian Round Women Team,Semi Final,Uttarakhand,Uttarakhand,1,Haryana,Haryana,5,Haryana,
38th National Games Uttarakhand,Indian Round Women Team,Final,Manipur,Manipur,,Haryana,Haryana,,,
38th National Games Uttarakhand,Indian Round Women Team,Winner,,,,,,,,
38th National Games Uttarakhand,Indian Round Women Team,Quarter Final,Chhattisgarh,Chhattisgarh,0,Uttarakhand,Uttarakhand,0,,
38th National Games Uttarakhand,Recurve Mixed Team,Quarter Final,Jharkhand,Jharkhand,5,Uttar Pradesh,Uttar Pradesh,3,Jharkhand,
38th National Games Uttarakhand,Recurve Mixed Team,Quarter Final,Maharashtra,Maharashtra,5,Madhya Pradesh,Madhya Pradesh,4,Maharashtra,
38th National Games Uttarakhand,Recurve Mixed Team,Quarter Final,Haryana,Haryana,6,Assam,Assam,2,Haryana,
38th National Games Uttarakhand,Recurve Mixed Team,Quarter Final,Rajasthan,Rajasthan,1,West Bengal,West Bengal,5,West Bengal,
38th National Games Uttarakhand,Recurve Mixed Team,Semi Final,Jharkhand,Jharkhand,3,Maharashtra,Maharashtra,5,Maharashtra,
38th National Games Uttarakhand,Recurve Mixed Team,Semi Final,Haryana,Haryana,5,West Bengal,West Bengal,4(,,
38th National Games Uttarakhand,Recurve Mixed Team,Final,Maharashtra,Maharashtra,4(19),Haryana,Haryana,4(18),,
38th National Games Uttarakhand,Recurve Mixed Team,Winner,,,,,,,,
38th National Games Uttarakhand,Recurve Mixed Team,Quarter Final,Jharkhand,Jharkhand,5,West Bengal,West Bengal,1,Jharkhand,
38th National Games Uttarakhand,Compound Mixed Team,Quarter Final,Delhi,Delhi,154,Haryana,Haryana,156,Haryana,
38th National Games Uttarakhand,Compound Mixed Team,Quarter Final,Madhya Pradesh,Madhya Pradesh,152,Punjab,Punjab,157,Punjab,
38th National Games Uttarakhand,Compound Mixed Team,Quarter Final,Andhra Pradesh,Andhra Pradesh,155,Rajasthan,Rajasthan,154,Andhra Pradesh,
38th National Games Uttarakhand,Compound Mixed Team,Quarter Final,Jammu and Kashmir,Jammu and Kashmir,153,Maharashtra,Maharashtra,151,Jammu and Kashmir,
38th National Games Uttarakhand,Compound Mixed Team,Semi Final,Haryana,Haryana,158,Punjab,Punjab,156,Haryana,
38th National Games Uttarakhand,Compound Mixed Team,Semi Final,Andhra Pradesh,Andhra Pradesh,153,Jammu and Kashmir,Jammu and Kashmir,148,Andhra Pradesh,
38th National Games Uttarakhand,Compound Mixed Team,Final,Haryana,Haryana,154,Andhra Pradesh,Andhra Pradesh,148,Haryana,
38th National Games Uttarakhand,Compound Mixed Team,Winner,,,,,,,,
38th National Games Uttarakhand,Compound Mixed Team,Quarter Final,Punjab,Punjab,158,Jammu and Kashmir,Jammu and Kashmir,156,Punjab,
38th National Games Uttarakhand,Indian Round Mixed Team,Quarter Final,Haryana,Haryana,6,Delhi,Delhi,2,Haryana,
38th National Games Uttarakhand,Indian Round Mixed Team,Quarter Final,Jharkhand,Jharkhand,5,Uttar Pradesh,Uttar Pradesh,3,Jharkhand,
38th National Games Uttarakhand,Indian Round Mixed Team,Quarter Final,Uttarakhand,Uttarakhand,1,Maharashtra,Maharashtra,5,Maharashtra,
38th National Games Uttarakhand,Indian Round Mixed Team,Quarter Final,Assam,Assam,6,Manipur,Manipur,2,Assam,
38th National Games Uttarakhand,Indian Round Mixed Team,Semi Final,Haryana,Haryana,4,Jharkhand,Jharkhand,4,,
38th National Games Uttarakhand,Indian Round Mixed Team,Semi Final,Maharashtra,Maharashtra,5,Assam,Assam,1,Maharashtra,
38th National Games Uttarakhand,Indian Round Mixed Team,Final,Jharkhand,Jharkhand,2,Maharashtra,Maharashtra,6,Maharashtra,
38th National Games Uttarakhand,Indian Round Mixed Team,Winner,,,,,,,,
38th National Games Uttarakhand,Indian Round Mixed Team,Quarter Final,Haryana,Haryana,1,Assam,Assam,7,Assam,
