championship_name,event,round_name,player_a,player_a_country,score_a,player_b,player_b_country,score_b,winner,winner_country
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,W-j Kim,KOR,6,G Sutherland,ZWE,0,W-j Kim,KOR
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,R Ega Agatha,IDN,7,Y Xing,CHN,1,R Ega Agatha,IDN
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,X Gu,CHN,4,S Duzelbayev,KAZ,6,S Duzelbayev,KAZ
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,M Wijaya,,3,M Nespoli,ITA,7,M Nespoli,ITA
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,C-h Wei,TPE,6,R Elder,FJI,0,C-h Wei,TPE
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,W Thamwong,THA,7,G Jantsan,MNG,3,W Thamwong,THA
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,V Ruban,UKR,7,H Purnama,IDN,3,V Ruban,UKR
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,P Kouassi,CIV,4,J-C Valladont,FRA,6,J-C Valladont,FRA
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 32,W-j Kim,KOR,2,R Ega Agatha,IDN,6,R Ega Agatha,IDN
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 32,S Duzelbayev,KAZ,0,M Nespoli,ITA,6,M Nespoli,ITA
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 32,C-h Wei,TPE,5 10,W Thamwong,THA,6 10+,W Thamwong,THA
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 32,V Ruban,UKR,0,J-C Valladont,FRA,6,J-C Valladont,FRA
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 16,R Ega Agatha,IDN,0,M Nespoli,ITA,6,M Nespoli,ITA
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 16,W Thamwong,THA,0,J-C Valladont,FRA,6,J-C Valladont,FRA
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,QUARTER-FINALS,M Nespoli,ITA,5 8,J-C Valladont,FRA,6 10,J-C Valladont,FRA
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,A Das,IND,6,J Muktan,NPL,0,A Das,IND
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,A Puentes,CUB,6,E Boardman,MEX,4,A Puentes,CUB
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,L Daniel,FRA,0,M Alvariño,ESP,6,M Alvariño,ESP
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,D Rezende Xavier,,2,S-y Lee,KOR,6,S-y Lee,KOR
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,R Soto,CHL,6 10+,A Prylepau,BLR,5 10,R Soto,CHL
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,B Oliveira,BRA,6,A Potts,AUS,4,B Oliveira,BRA
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,M Gazoz,Turkey,6 9,P Plihon,FRA,5 6,M Gazoz,Turkey
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,A Jensen,TON,3,S van den Berg,NLD,7,S van den Berg,NLD
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 32,A Das,IND,6,A Puentes,CUB,4,A Das,IND
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 32,M Alvariño,ESP,1,S-y Lee,KOR,7,S-y Lee,KOR
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 32,R Soto,CHL,7,B Oliveira,BRA,1,R Soto,CHL
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 32,M Gazoz,Turkey,3,S van den Berg,NLD,7,S van den Berg,NLD
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 16,A Das,IND,4,S-y Lee,KOR,6,S-y Lee,KOR
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 16,R Soto,CHL,"5 9,9",S van den Berg,NLD,"6 9,9+",S van den Berg,NLD
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,QUARTER-FINALS,S-y Lee,KOR,4,S van den Berg,NLD,6,S van den Berg,NLD
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,D Pasqualucci,ITA,6,A David,MWI,0,D Pasqualucci,ITA
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,A Fernández,ESP,6,H-w Kao,TPE,0,A Fernández,ESP
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,D Wang,CHN,2,E Malavé,VEN,6,E Malavé,VEN
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,A El-Nemr,EGY,0,T Worth,AUS,6,T Worth,AUS
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,F Floto,DEU,6,S Piippo,FIN,0,F Floto,DEU
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,A Pila,COL,0,KA Mohamad,MYS,6,KA Mohamad,MYS
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,R van der Ven,NLD,4,P Huston,GBR,6,P Huston,GBR
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 64,B Baláž,SVK,0,B-c Ku,KOR,6,B-c Ku,KOR
Archery at the 2016 Summer Olympics,INDIVIDUAL MEN,ROUND OF 32,D Pasqualucci,ITA,2,A Fernández,ESP,6,A Fernández,ESP
