championship_name,event,round_name,player_a,player_a_country,score_a,player_b,player_b_country,score_b,winner,winner_country
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,Lim S-h,KOR,6,A Rivera,PRI,0,Lim S-h,KOR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,V Chénier,CAN,2,R Octavia,IDN,6,R Octavia,IDN
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,A Cordeau,FRA,7,D Baránková,SVK,3,A Cordeau,FRA
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,M Havers,GBR,6,E Canales,ESP,0,M Havers,GBR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,Li JM,CHN,6,K D Andersen,DNK,0,Li JM,CHN
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,B Pitman,GBR,6,Á Ruiz,MEX,2,B Pitman,GBR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,V Marchenko,UKR,6,Li T-c,TPE,4,V Marchenko,UKR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,J Mucino-Fernandez,USA,2,A Valencia,MEX,6,A Valencia,MEX
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,Lim S-h,KOR,6,R Octavia,IDN,0,Lim S-h,KOR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,A Cordeau,FRA,5 9,M Havers,GBR,6 10,M Havers,GBR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,Li JM,CHN,6,B Pitman,GBR,0,Li JM,CHN
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,V Marchenko,UKR,4,A Valencia,MEX,6,A Valencia,MEX
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 16,Lim S-h,KOR,7,M Havers,GBR,1,Lim S-h,KOR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 16,Li JM,CHN,5 9,A Valencia,MEX,6 9+,A Valencia,MEX
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,QUARTER-FINALS,Lim S-h,KOR,6,A Valencia,MEX,4,Lim S-h,KOR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,E B Gökkır,TUR,6,N Fazil,MYS,0,E B Gökkır,TUR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,Đỗ T A N,VNM,5 10,M Fallah,IRN,6 X,M Fallah,IRN
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,C Lopez,FRA,6,L Paeglis,AUS,4,C Lopez,FRA
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,Chiu Y-c,TPE,0,S Noda,JPN,6,S Noda,JPN
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,Jeon H-y,KOR,6,P Healey,GBR,2,Jeon H-y,KOR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,C Schwarz,DEU,6,A Vázquez,MEX,4,C Schwarz,DEU
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,Lei C-y,TPE,7,A Rendón,COL,1,Lei C-y,TPE
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,F Sylla,GIN,2,C Kaufhold,USA,6,C Kaufhold,USA
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,E B Gökkır,TUR,6,M Fallah,IRN,0,E B Gökkır,TUR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,C Lopez,FRA,2,S Noda,JPN,6,S Noda,JPN
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,Jeon H-y,KOR,7,C Schwarz,DEU,1,Jeon H-y,KOR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,Lei C-y,TPE,7,C Kaufhold,USA,3,Lei C-y,TPE
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 16,E B Gökkır,TUR,6,S Noda,JPN,4,E B Gökkır,TUR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 16,Jeon H-y,KOR,6,Lei C-y,TPE,4,Jeon H-y,KOR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,QUARTER-FINALS,E B Gökkır,TUR,2,Jeon H-y,KOR,6,Jeon H-y,KOR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,Yang XL,CHN,7,R Elwalid,TUN,3,Yang XL,CHN
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,G Schloesser,NLD,2,L Barbelin,FRA,6,L Barbelin,FRA
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,A S Caetano,BRA,6,Ž Pintarič,SVN,2,A S Caetano,BRA
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,A Mîrca,MDA,0,S Mashayikh,MYS,6,S Mashayikh,MYS
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,A Bhakat,IND,4,W Myszor,POL,6,W Myszor,POL
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,S N Kamal,IDN,3,B Kaur,IND,7,B Kaur,IND
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,K Bauer,DEU,0,C GNoriega,USA,6,C GNoriega,USA
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,L van der Winkel,NLD,1,D Choirunisa,IDN,7,D Choirunisa,IDN
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,Yang XL,CHN,2,L Barbelin,FRA,6,L Barbelin,FRA
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,A S Caetano,BRA,6 9,S Mashayikh,MYS,5 8,A S Caetano,BRA
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,W Myszor,POL,0,B Kaur,IND,6,B Kaur,IND
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,C GNoriega,USA,5 8,D Choirunisa,IDN,6 10,D Choirunisa,IDN
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 16,L Barbelin,FRA,6,A S Caetano,BRA,2,L Barbelin,FRA
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 16,B Kaur,IND,5 8,D Choirunisa,IDN,6 9,D Choirunisa,IDN
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,QUARTER-FINALS,L Barbelin,FRA,6 10,D Choirunisa,IDN,5 8,L Barbelin,FRA
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,M Kroppen,DEU,7,G Cesarini,SMR,3,M Kroppen,DEU
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,Y Ramazanova,AZE,6 10,An QX,CHN,5 9,Y Ramazanova,AZE
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,D Kumari,IND,6 9,R Pärnat,EST,5 8,D Kumari,IND
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,Q Roeffen,NLD,6,E Straka,AUT,4,Q Roeffen,NLD
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,C Rebagliati,ITA,6 10,A Zairi,MYS,5 9,C Rebagliati,ITA
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,M Amăistroaie,ROU,7,M Moshe,ISR,1,M Amăistroaie,ROU
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,M Horáčková,CZE,6,Z Abdusattorova,UZB,2,M Horáčková,CZE
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,J Ali,EGY,1,Nam S-h,KOR,7,Nam S-h,KOR
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,M Kroppen,DEU,6,Y Ramazanova,AZE,2,M Kroppen,DEU
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,D Kumari,IND,6,Q Roeffen,NLD,2,D Kumari,IND
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,C Rebagliati,ITA,3,M Amăistroaie,ROU,7,M Amăistroaie,ROU
Archery at the 2024 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,M Horáčková,CZE,3,Nam S-h,KOR,7,Nam S-h,KOR
