championship_name,event_name,round_name,player_a,player_a_dob,player_a_state,score_a,player_b,player_b_dob,player_b_state,score_b,winner,winner_dob,winner_state
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA,238,RISHABH YADAV,2002-08-13,HARYANA,230,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA,238,KUSHAL DALAL,2005-01-23,HARYANA,230,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA,238,MOHIT DAGAR,2008-01-26,HARYANA,230,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA,238,RISHABH YADAV,2002-08-13,HARYANA,230,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA,238,KUSHAL DALAL,2005-01-23,HARYANA,230,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA,238,MOHIT DAGAR,2008-01-26,HARYANA,230,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,RAJAT CHAUHAN,1994-12-30,AIPSCB,232,PRIYANSH,2003-03-22,DELHI,237,PRIYANSH,2003-03-22,AIPSCB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,RAJAT CHAUHAN,1994-12-30,AIPSCB,232,ABHISHEK VERMA,1989-06-26,DELHI,237,ABHISHEK VERMA,1989-06-26,AIPSCB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,RAJAT CHAUHAN,1994-12-30,AIPSCB,232,RITIK CHAHAL,2003-10-12,DELHI,237,RITIK CHAHAL,2003-10-12,AIPSCB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,BHAGWAN DAS,1993-05-10,AIPSCB,232,PRIYANSH,2003-03-22,DELHI,237,PRIYANSH,2003-03-22,AIPSCB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,BHAGWAN DAS,1993-05-10,AIPSCB,232,ABHISHEK VERMA,1989-06-26,DELHI,237,ABHISHEK VERMA,1989-06-26,AIPSCB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,SEMI-FINAL,BHAGWAN DAS,1993-05-10,AIPSCB,232,RITIK CHAHAL,2003-10-12,DELHI,237,RITIK CHAHAL,2003-10-12,AIPSCB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,FINAL,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA,238,PRIYANSH,2003-03-22,DELHI,237,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,FINAL,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA,238,ABHISHEK VERMA,1989-06-26,DELHI,237,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,FINAL,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA,238,RITIK CHAHAL,2003-10-12,DELHI,237,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,FINAL,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA,238,PRIYANSH,2003-03-22,DELHI,237,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,FINAL,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA,238,ABHISHEK VERMA,1989-06-26,DELHI,237,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,FINAL,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA,238,RITIK CHAHAL,2003-10-12,DELHI,237,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND WOMEN,QUARTER-FINAL,ADITI GOPICHAND SWAMI,2006-06-15,MAHARASHTRA,148,NIDHI SHARMA,1994-03-04,RSPB,141,ADITI GOPICHAND SWAMI,2006-06-15,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND WOMEN,QUARTER-FINAL,RAGINEE MARKO,2000-04-04,MADHYA PRADESH,149,MADHURA DHAMANGAONKAR,2000-01-20,MAHARASHTRA,142,RAGINEE MARKO,2000-04-04,MADHYA PRADESH
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND WOMEN,QUARTER-FINAL,PARNEET KAUR,2005-04-11,PUNJAB,147,AISHWARYA SHARMA,2007-12-08,DELHI,142,PARNEET KAUR,2005-04-11,PUNJAB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND WOMEN,QUARTER-FINAL,AKSHITA,2003-12-24,DELHI,148,MAYA BISHNOI,2004-04-07,RAJASTHAN,145,AKSHITA,2003-12-24,DELHI
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND WOMEN,SEMI-FINAL,ADITI GOPICHAND SWAMI,2006-06-15,MAHARASHTRA,148,RAGINEE MARKO,2000-04-04,MADHYA PRADESH,144,ADITI GOPICHAND SWAMI,2006-06-15,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND WOMEN,SEMI-FINAL,PARNEET KAUR,2005-04-11,PUNJAB,146,AKSHITA,2003-12-24,DELHI,146,AKSHITA,2003-12-24,PUNJAB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND WOMEN,FINAL,ADITI GOPICHAND SWAMI,2006-06-15,MAHARASHTRA,148,AKSHITA,2003-12-24,DELHI,146,ADITI GOPICHAND SWAMI,2006-06-15,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN,QUARTER-FINAL,AZADVEER SINGH,2005-08-15,PUNJAB,7,MONU KUMAR,1998-01-05,DELHI,3,AZADVEER SINGH,2005-08-15,PUNJAB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN,QUARTER-FINAL,UJJWAL MUDGAL,2004-03-14,UTTAR PRADESH,6,SHILHEIBA LEITANTHEM,2007-03-06,MANIPUR,0,UJJWAL MUDGAL,2004-03-14,UTTAR PRADESH
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN,QUARTER-FINAL,VIKAS YADAV,2005-07-05,RAJASTHAN,6,SHUBHAM RAM NAGE,1996-05-28,MAHARASHTRA,4,VIKAS YADAV,2005-07-05,RAJASTHAN
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN,QUARTER-FINAL,SRABAN KUMAR MANDANGI,1995-05-02,ODISHA,2,ASHISH,2008-03-13,HARYANA,6,ASHISH,2008-03-13,ODISHA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN,SEMI-FINAL,AZADVEER SINGH,2005-08-15,PUNJAB,7,UJJWAL MUDGAL,2004-03-14,UTTAR PRADESH,3,AZADVEER SINGH,2005-08-15,PUNJAB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN,SEMI-FINAL,VIKAS YADAV,2005-07-05,RAJASTHAN,4,ASHISH,2008-03-13,HARYANA,6,ASHISH,2008-03-13,RAJASTHAN
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN,FINAL,AZADVEER SINGH,2005-08-15,PUNJAB,6,ASHISH,2008-03-13,HARYANA,2,AZADVEER SINGH,2005-08-15,PUNJAB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,DASARATH RAJAGOPAL,2000-05-12,KERALA,6,KAYAM LAXMAN,2003-06-07,TELANGANA,2,DASARATH RAJAGOPAL,2000-05-12,KERALA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,DASARATH RAJAGOPAL,2000-05-12,KERALA,6,KODEM SARVESH,2002-08-18,TELANGANA,2,DASARATH RAJAGOPAL,2000-05-12,KERALA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,DASARATH RAJAGOPAL,2000-05-12,KERALA,6,PAYAM NAGESH,1998-06-08,TELANGANA,2,DASARATH RAJAGOPAL,2000-05-12,KERALA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,ARUN KUMAR,1997-08-17,KERALA,6,KAYAM LAXMAN,2003-06-07,TELANGANA,2,ARUN KUMAR,1997-08-17,KERALA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,ARUN KUMAR,1997-08-17,KERALA,6,KODEM SARVESH,2002-08-18,TELANGANA,2,ARUN KUMAR,1997-08-17,KERALA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,ARUN KUMAR,1997-08-17,KERALA,6,PAYAM NAGESH,1998-06-08,TELANGANA,2,ARUN KUMAR,1997-08-17,KERALA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,YOGENDRA HESSA,2008-08-20,JHARKHAND,6,ZHOKHOTO DEMO,1993-11-13,NAGALAND,2,YOGENDRA HESSA,2008-08-20,JHARKHAND
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,YOGENDRA HESSA,2008-08-20,JHARKHAND,6,PRADEEP,1998-12-16,NAGALAND,2,YOGENDRA HESSA,2008-08-20,JHARKHAND
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,YOGENDRA HESSA,2008-08-20,JHARKHAND,6,CHUNGKHAM HARICHANDRA SINGH,1991-02-10,NAGALAND,2,YOGENDRA HESSA,2008-08-20,JHARKHAND
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,LOUKHAN BODRA,2009-09-19,JHARKHAND,6,ZHOKHOTO DEMO,1993-11-13,NAGALAND,2,LOUKHAN BODRA,2009-09-19,JHARKHAND
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,LOUKHAN BODRA,2009-09-19,JHARKHAND,6,PRADEEP,1998-12-16,NAGALAND,2,LOUKHAN BODRA,2009-09-19,JHARKHAND
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,LOUKHAN BODRA,2009-09-19,JHARKHAND,6,CHUNGKHAM HARICHANDRA SINGH,1991-02-10,NAGALAND,2,LOUKHAN BODRA,2009-09-19,JHARKHAND
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,PRASAD RAOSAHEB BHANGE,2006-06-13,MAHARASHTRA,4.25*,VIKAS KUMAR,2003-05-10,CHHATTISGARH,4.25,PRASAD RAOSAHEB BHANGE,2006-06-13,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,PRASAD RAOSAHEB BHANGE,2006-06-13,MAHARASHTRA,4.25*,KUBAR JAGAT,,CHHATTISGARH,4.25,PRASAD RAOSAHEB BHANGE,2006-06-13,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,SHUBHAM RAM NAGE,1996-05-28,MAHARASHTRA,4.25*,VIKAS KUMAR,2003-05-10,CHHATTISGARH,4.25,SHUBHAM RAM NAGE,1996-05-28,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,SHUBHAM RAM NAGE,1996-05-28,MAHARASHTRA,4.25*,KUBAR JAGAT,,CHHATTISGARH,4.25,SHUBHAM RAM NAGE,1996-05-28,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,ARJUNBHAI JATARIYABHAI VASAVA,1992-04-24,GUJARAT,4.26,SHIVAM VAIDWAN,2001-02-10,UTTAR PRADESH,4.28,SHIVAM VAIDWAN,2001-02-10,GUJARAT
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,ARJUNBHAI JATARIYABHAI VASAVA,1992-04-24,GUJARAT,4.26,UJJWAL MUDGAL,2004-03-14,UTTAR PRADESH,4.28,UJJWAL MUDGAL,2004-03-14,GUJARAT
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,JAY PREMAJI BHAT,2003-08-15,GUJARAT,4.26,SHIVAM VAIDWAN,2001-02-10,UTTAR PRADESH,4.28,SHIVAM VAIDWAN,2001-02-10,GUJARAT
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,JAY PREMAJI BHAT,2003-08-15,GUJARAT,4.26,UJJWAL MUDGAL,2004-03-14,UTTAR PRADESH,4.28,UJJWAL MUDGAL,2004-03-14,GUJARAT
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,MANARANJAN BORO,1995-01-08,ASSAM,4.28,BIKRAM MAJHI,2008-02-08,ODISHA,1,MANARANJAN BORO,1995-01-08,ASSAM
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,MANARANJAN BORO,1995-01-08,ASSAM,4.28,SRABAN KUMAR MANDANGI,1995-05-02,ODISHA,1,MANARANJAN BORO,1995-01-08,ASSAM
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,RAJESH NARZARY,1994-06-14,ASSAM,4.28,BIKRAM MAJHI,2008-02-08,ODISHA,1,RAJESH NARZARY,1994-06-14,ASSAM
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,RAJESH NARZARY,1994-06-14,ASSAM,4.28,SRABAN KUMAR MANDANGI,1995-05-02,ODISHA,1,RAJESH NARZARY,1994-06-14,ASSAM
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,MONU KUMAR,1998-01-05,DELHI,4.27*,NAVEEN KUMAR,2006-04-06,RAJASTHAN,4.27,MONU KUMAR,1998-01-05,DELHI
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,MONU KUMAR,1998-01-05,DELHI,4.27*,VIKAS YADAV,2005-07-05,RAJASTHAN,4.27,MONU KUMAR,1998-01-05,DELHI
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,GHULAM RASOOL,1987-12-30,SSCB,3,SORU,,HARYANA,6,SORU,,SSCB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,GHULAM RASOOL,1987-12-30,SSCB,3,ASHISH,2008-03-13,HARYANA,6,ASHISH,2008-03-13,SSCB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,MOHD HUSSAIN,1980-02-15,SSCB,3,SORU,,HARYANA,6,SORU,,SSCB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,MOHD HUSSAIN,1980-02-15,SSCB,3,ASHISH,2008-03-13,HARYANA,6,ASHISH,2008-03-13,SSCB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,SHILHEIBA LEITANTHEM,2007-03-06,MANIPUR,2,ARUN BORO,1990-07-01,AIPSCB,6,ARUN BORO,1990-07-01,MANIPUR
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,SHILHEIBA LEITANTHEM,2007-03-06,MANIPUR,2,PUKHRAMBAM HEROBA SINGH,1984-01-02,AIPSCB,6,PUKHRAMBAM HEROBA SINGH,1984-01-02,MANIPUR
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/8 FINAL,SHILHEIBA LEITANTHEM,2007-03-06,MANIPUR,2,JAYDEEP KUSHWAHA,1992-07-10,AIPSCB,6,JAYDEEP KUSHWAHA,1992-07-10,MANIPUR
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/4 FINAL,DASARATH RAJAGOPAL,2000-05-12,KERALA,5,YOGENDRA HESSA,2008-08-20,JHARKHAND,3,DASARATH RAJAGOPAL,2000-05-12,KERALA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/4 FINAL,DASARATH RAJAGOPAL,2000-05-12,KERALA,5,LOUKHAN BODRA,2009-09-19,JHARKHAND,3,DASARATH RAJAGOPAL,2000-05-12,KERALA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/4 FINAL,ARUN KUMAR,1997-08-17,KERALA,5,YOGENDRA HESSA,2008-08-20,JHARKHAND,3,ARUN KUMAR,1997-08-17,KERALA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",INDIAN ROUND MEN TEAM,1/4 FINAL,ARUN KUMAR,1997-08-17,KERALA,5,LOUKHAN BODRA,2009-09-19,JHARKHAND,3,ARUN KUMAR,1997-08-17,KERALA
