championship_name,event,round_name,player_a,player_a_country,score_a,player_b,player_b_country,score_b,winner,winner_country
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,QUARTERFINAL,Lee Woo-seok,KOR,28,Wei Chun-heng,TPE,25,Lee Woo-seok,KOR
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,QUARTERFINAL,Khairul Anuar Mohamad,MYS,27,Ilfat Abdullin,KAZ,29,Ilfat Abdullin,KAZ
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,QUARTERFINAL,Riau Ega Agata,IDN,27,Atanu Das,IND,27,Riau Ega Agata,IDN
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,QUARTERFINAL,Takaharu Furukawa,JPN,29,Kim Woo-jin,KOR,28,Takaharu Furukawa,JPN
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,SEMI-FINAL,Lee Woo-seok,KOR,29,Ilfat Abdullin,KAZ,27,Lee Woo-seok,KOR
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,SEMI-FINAL,Riau Ega Agata,IDN,27,Kim Woo-jin,KOR,28,Kim Woo-jin,KOR
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,GOLD MEDAL MATCH,Lee Woo-seok,KOR,27,Kim Woo-jin,KOR,27,,
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,BRONZE MEDAL MATCH,Ilfat Abdullin,KAZ,29,Riau Ega Agata,IDN,29,Riau Ega Agata,IDN
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Ma Hing Kin,HKG,25,Ibrahim Al-Mohanadi,QAT,23,Ma Hing Kin,HKG
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Lee Woo-seok,KOR,27,Ma Hing Kin,HKG,28,Ma Hing Kin,HKG
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Hoàng Văn Lộc,VNM,26,Chu Đức Anh,VNM,29,Chu Đức Anh,VNM
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/8 ELIMINATION,Lee Woo-seok,KOR,28,Chu Đức Anh,VNM,28,Lee Woo-seok,KOR
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Nima Wangdi,BTN,25,Tilak Pun Magar,NPL,27,Tilak Pun Magar,NPL
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Roshan Nagarkoti,NPL,24,Sajeev De Silva,LKA,27,Sajeev De Silva,LKA
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Xu Tianyu,CHN,26,Tilak Pun Magar,NPL,26,,
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Sajeev De Silva,LKA,28,Wei Chun-heng,TPE,18,Sajeev De Silva,LKA
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/8 ELIMINATION,Xu Tianyu,CHN,28,Wei Chun-heng,TPE,30,Wei Chun-heng,TPE
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Ulukbek Kursanaliev,KGZ,26,Htike Lin Oo,MMR,27,Htike Lin Oo,MMR
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Sadegh Ashrafi,IRN,27,Ali Ahmed Salem,QAT,28,Ali Ahmed Salem,QAT
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Tang Chih-chun,TPE,28,Htike Lin Oo,MMR,29,Htike Lin Oo,MMR
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Ali Ahmed Salem,QAT,22,Khairul Anuar Mohamad,MYS,28,Khairul Anuar Mohamad,MYS
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/8 ELIMINATION,Htike Lin Oo,MMR,27,Khairul Anuar Mohamad,MYS,27,Khairul Anuar Mohamad,MYS
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Ahmed Al-Kaabi,UAE,23,Bataagiin Pürevsüren,MNG,25,Bataagiin Pürevsüren,MNG
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Amin Pirali,IRN,26,Fares Al-Otaibi,SAU,27,Fares Al-Otaibi,SAU
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Vishwas,IND,28,Bataagiin Pürevsüren,MNG,28,Vishwas,IND
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Fares Al-Otaibi,SAU,26,Ilfat Abdullin,KAZ,30,Ilfat Abdullin,KAZ
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/8 ELIMINATION,Vishwas,IND,26,Ilfat Abdullin,KAZ,28,Ilfat Abdullin,KAZ
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Mansour Alwi,SAU,28,Witthaya Thamwong,THA,29,Witthaya Thamwong,THA
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Riau Ega Agata,IDN,28,Idrees Majeed,PAK,22,Riau Ega Agata,IDN
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Ruman Shana,BGD,30,Witthaya Thamwong,THA,26,Ruman Shana,BGD
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Riau Ega Agata,IDN,27,Akmal Nor Hasrin,MYS,26,Riau Ega Agata,IDN
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/8 ELIMINATION,Ruman Shana,BGD,26,Riau Ega Agata,IDN,27,Riau Ega Agata,IDN
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Hamdan Al-Mansoori,UAE,18,Pak Yong-won,PRK,27,Pak Yong-won,PRK
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Alek Edwar,IDN,29,Kinley Tshering,BTN,28,Alek Edwar,IDN
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Atanu Das,IND,28,Pak Yong-won,PRK,23,Atanu Das,IND
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Alek Edwar,IDN,25,Denis Gankin,KAZ,28,Denis Gankin,KAZ
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/8 ELIMINATION,Atanu Das,IND,27,Denis Gankin,KAZ,28,Denis Gankin,KAZ
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Lee Kar Wai,HKG,27,Tanapat Pathairat,THA,24,Lee Kar Wai,HKG
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Ibrahim Sheik Rezowan,BGD,26,Soulivong Onmanee,LAO,25,Ibrahim Sheik Rezowan,BGD
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Takaharu Furukawa,JPN,28,Tanapat Pathairat,THA,26,Takaharu Furukawa,JPN
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Ibrahim Sheik Rezowan,BGD,27,Li Jialun,CHN,29,Li Jialun,CHN
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/8 ELIMINATION,Takaharu Furukawa,JPN,26,Li Jialun,CHN,26,,
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Umedzhon Khudoyarov,TJK,19,Hiroki Muto,JPN,26,Hiroki Muto,JPN
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Tan Si Lie,SGP,28,Ri Tae-bom,PRK,27,Tan Si Lie,SGP
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Baatarkhuyagiin Otgonbold,MNG,28,Hiroki Muto,JPN,29,Hiroki Muto,JPN
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Tan Si Lie,SGP,29,Kim Woo-jin,KOR,29,Kim Woo-jin,KOR
Archery at the 2018 Asian Games,RECURVE MEN INDIVIDUAL,1/8 ELIMINATION,Hiroki Muto,JPN,27,Kim Woo-jin,KOR,29,Kim Woo-jin,KOR
